BioTIME,parsed,common,ebird,fishbase,lcvp,matched,binomial
Acanthis cannabina,Acanthis cannabina,birds,NA,NA,NA,NA,NA
Acanthuridae unidentified,Acanthuridae unidentified,fishes,NA,NA,NA,NA,NA
Acanthurus nigros,Acanthurus nigros,fishes,NA,NA,NA,NA,NA
Accipiter unidentified,Accipiter unidentified,birds,NA,NA,NA,NA,NA
Achyrocline saturioides,Achyrocline saturioides,vascular plants,NA,NA,NA,NA,NA
Aconitum delphiniifolium,Aconitum delphiniifolium,vascular plants,NA,NA,NA,NA,NA
Actinostemon comunis,Actinostemon comunis,vascular plants,NA,NA,NA,NA,NA
Actitis macularia,Actitis macularia,birds,NA,NA,NA,NA,NA
Adelosebastes lutens,Adelosebastes lutens,fishes,NA,NA,NA,NA,NA
Agalinus purpurea,Agalinus purpurea,vascular plants,NA,NA,NA,NA,NA
Aglaia barberi,Aglaia barberi,vascular plants,NA,NA,NA,NA,NA
Ahliesaurs berryi,Ahliesaurs berryi,fishes,NA,NA,NA,NA,NA
Aimophila aestivalis,Aimophila aestivalis,birds,NA,NA,NA,NA,NA
Aimophila botterii,Aimophila botterii,birds,NA,NA,NA,NA,NA
Aimophila carpalis,Aimophila carpalis,birds,NA,NA,NA,NA,NA
Aimophila cassinii,Aimophila cassinii,birds,NA,NA,NA,NA,NA
Amblyraja georginian,Amblyraja georginian,fishes,NA,NA,NA,NA,NA
Ambrosia artemisifolia,Ambrosia artemisifolia,vascular plants,NA,NA,NA,NA,NA
Ambrosia artemisiifolia,Ambrosia artemisiifolia,vascular plants,NA,NA,NA,NA,NA
Amelanchier gravida,Amelanchier gravida,vascular plants,NA,NA,NA,NA,NA
Ammocodon chenopoides,Ammocodon chenopoides,vascular plants,NA,NA,NA,NA,NA
Ammodramus bairdii,Ammodramus bairdii,birds,NA,NA,NA,NA,NA
Ammodramus caudacutus,Ammodramus caudacutus,birds,NA,NA,NA,NA,NA
Ammodramus henslowii,Ammodramus henslowii,birds,NA,NA,NA,NA,NA
Ammodramus leconteii,Ammodramus leconteii,birds,NA,NA,NA,NA,NA
Ammodramus maritimus,Ammodramus maritimus,birds,NA,NA,NA,NA,NA
Ammodramus nelsoni,Ammodramus nelsoni,birds,NA,NA,NA,NA,NA
Amphispiza belli,Amphispiza belli,birds,NA,NA,NA,NA,NA
Anarhichas lupis,Anarhichas lupis,fishes,NA,NA,NA,NA,NA
Anas americana,Anas americana,birds,NA,NA,NA,NA,NA
Anas clypeata,Anas clypeata,birds,NA,NA,NA,NA,NA
Anas cyanoptera,Anas cyanoptera,birds,NA,NA,NA,NA,NA
Anas discors,Anas discors,birds,NA,NA,NA,NA,NA
Anas falcata,Anas falcata,birds,NA,NA,NA,NA,NA
Anas penelope,Anas penelope,birds,NA,NA,NA,NA,NA
Anas querquedula,Anas querquedula,birds,NA,NA,NA,NA,NA
Anas strepera,Anas strepera,birds,NA,NA,NA,NA,NA
Anguilla leptocephali,Anguilla leptocephali,fishes,NA,NA,NA,NA,NA
Aniba ocotea,Aniba ocotea,vascular plants,NA,NA,NA,NA,NA
Anona cacans,Anona cacans,vascular plants,NA,NA,NA,NA,NA
Anona rollinia,Anona rollinia,vascular plants,NA,NA,NA,NA,NA
Antidesma cuspidata,Antidesma cuspidata,vascular plants,NA,NA,NA,NA,NA
Antus cervinus,Antus cervinus,birds,NA,NA,NA,NA,NA
Aphanophus carbo,Aphanophus carbo,fishes,NA,NA,NA,NA,NA
Apogon melanorhynchus,Apogon melanorhynchus,fishes,NA,NA,NA,NA,NA
Apogon pharonis,Apogon pharonis,fishes,NA,NA,NA,NA,NA
Apogon proeruptus,Apogon proeruptus,fishes,NA,NA,NA,NA,NA
Aporusa aurea,Aporusa aurea,vascular plants,NA,NA,NA,NA,NA
Aporusa bracteosa,Aporusa bracteosa,vascular plants,NA,NA,NA,NA,NA
Aporusa confusa,Aporusa confusa,vascular plants,NA,NA,NA,NA,NA
Aporusa falcifera,Aporusa falcifera,vascular plants,NA,NA,NA,NA,NA
Aporusa globifera,Aporusa globifera,vascular plants,NA,NA,NA,NA,NA
Aporusa lunata,Aporusa lunata,vascular plants,NA,NA,NA,NA,NA
Aporusa microstachya,Aporusa microstachya,vascular plants,NA,NA,NA,NA,NA
Aporusa miqueliana,Aporusa miqueliana,vascular plants,NA,NA,NA,NA,NA
Aporusa nervosa,Aporusa nervosa,vascular plants,NA,NA,NA,NA,NA
Aporusa nigricans,Aporusa nigricans,vascular plants,NA,NA,NA,NA,NA
Aporusa nigropunctata,Aporusa nigropunctata,vascular plants,NA,NA,NA,NA,NA
Aporusa prainiana,Aporusa prainiana,vascular plants,NA,NA,NA,NA,NA
Aporusa symplocoides,Aporusa symplocoides,vascular plants,NA,NA,NA,NA,NA
Appunia seibertii,Appunia seibertii,vascular plants,NA,NA,NA,NA,NA
Aquila chrysaetus,Aquila chrysaetus,birds,NA,NA,NA,NA,NA
Aquila heliacal,Aquila heliacal,birds,NA,NA,NA,NA,NA
Aquila pomarina,Aquila pomarina,birds,NA,NA,NA,NA,NA
Archamia zoosterophora,Archamia zoosterophora,fishes,NA,NA,NA,NA,NA
Archamia zosterophera,Archamia zosterophera,fishes,NA,NA,NA,NA,NA
Archontophoenix cunninghamii,Archontophoenix cunninghamii,vascular plants,NA,NA,NA,NA,NA
Ariosoma opisthophthalaena,Ariosoma opisthophthalaena,fishes,NA,NA,NA,NA,NA
Aristostomias grimaldi,Aristostomias grimaldi,fishes,NA,NA,NA,NA,NA
Arnoglossus imperalis,Arnoglossus imperalis,fishes,NA,NA,NA,NA,NA
Arnoglossus unidentifiable,Arnoglossus unidentifiable,fishes,NA,NA,NA,NA,NA
Artedidraco lonnebergi,Artedidraco lonnebergi,fishes,NA,NA,NA,NA,NA
Artocarpus dadak,Artocarpus dadak,vascular plants,NA,NA,NA,NA,NA
Artocarpus grandifolia,Artocarpus grandifolia,vascular plants,NA,NA,NA,NA,NA
Artocarpus rigida,Artocarpus rigida,vascular plants,NA,NA,NA,NA,NA
Aseraggodes melanospilos,Aseraggodes melanospilos,fishes,NA,NA,NA,NA,NA
Aspitrigla culculus,Aspitrigla culculus,fishes,NA,NA,NA,NA,NA
Aspitriglia cuculus,Aspitriglia cuculus,fishes,NA,NA,NA,NA,NA
Asplenium fascia,Asplenium fascia,vascular plants,NA,NA,NA,NA,NA
Astragalus nuttalianus,Astragalus nuttalianus,vascular plants,NA,NA,NA,NA,NA
Astronesthes xenostoma,Astronesthes xenostoma,fishes,NA,NA,NA,NA,NA
Asturina plagiata,Asturina plagiata,birds,NA,NA,NA,NA,NA
Austroplenckia populnea,Austroplenckia populnea,vascular plants,NA,NA,NA,NA,NA
Aygyropelecus hemigymnus,Aygyropelecus hemigymnus,fishes,NA,NA,NA,NA,NA
Bacopa monneri,Bacopa monneri,vascular plants,NA,NA,NA,NA,NA
Bahia absentifolia,Bahia absentifolia,vascular plants,NA,NA,NA,NA,NA
Bajacalifornia curtifrons,Bajacalifornia curtifrons,fishes,NA,NA,NA,NA,NA
Bajacalifornia macrops,Bajacalifornia macrops,fishes,NA,NA,NA,NA,NA
Balistoides conspicullum,Balistoides conspicullum,fishes,NA,NA,NA,NA,NA
Bambusicola thoracica,Bambusicola thoracica,birds,NA,NA,NA,NA,NA
Bathophilus longipinnus,Bathophilus longipinnus,fishes,NA,NA,NA,NA,NA
Bathophilus metalicus,Bathophilus metalicus,fishes,NA,NA,NA,NA,NA
Bathycallionymus bifilum,Bathycallionymus bifilum,fishes,NA,NA,NA,NA,NA
Bathycongrus africanus,Bathycongrus africanus,fishes,NA,NA,NA,NA,NA
Bathycygnus longpipes,Bathycygnus longpipes,fishes,NA,NA,NA,NA,NA
Bathylagus achotensis,Bathylagus achotensis,fishes,NA,NA,NA,NA,NA
Bathylagus euryopsa,Bathylagus euryopsa,fishes,NA,NA,NA,NA,NA
Belenesox belizanus,Belenesox belizanus,fishes,NA,NA,NA,NA,NA
Blenniidae unidentified,Blenniidae unidentified,fishes,NA,NA,NA,NA,NA
Blennius ocelatus,Blennius ocelatus,fishes,NA,NA,NA,NA,NA
Blepharistemma membranifolia,Blepharistemma membranifolia,vascular plants,NA,NA,NA,NA,NA
Boerhaavia coulteri,Boerhaavia coulteri,vascular plants,NA,NA,NA,NA,NA
Boerhaavia intermedia,Boerhaavia intermedia,vascular plants,NA,NA,NA,NA,NA
Boerhaavia torreyana,Boerhaavia torreyana,vascular plants,NA,NA,NA,NA,NA
Bonasa bonasia,Bonasa bonasia,birds,NA,NA,NA,NA,NA
Brachirus setifer,Brachirus setifer,fishes,NA,NA,NA,NA,NA
Bregmasceros atlanticus,Bregmasceros atlanticus,fishes,NA,NA,NA,NA,NA
Breviraja caerulia,Breviraja caerulia,fishes,NA,NA,NA,NA,NA
Bubo spec,Bubo spec,birds,NA,NA,NA,NA,NA
Buteo albicaudatus,Buteo albicaudatus,birds,NA,NA,NA,NA,NA
Caelorinchus caelorhinchus,Caelorinchus caelorhinchus,fishes,NA,NA,NA,NA,NA
Calcarius mccownii,Calcarius mccownii,birds,NA,NA,NA,NA,NA
Calliurichthys afilum,Calliurichthys afilum,fishes,NA,NA,NA,NA,NA
Calliurichthys grossi,Calliurichthys grossi,fishes,NA,NA,NA,NA,NA
Calliurichthys ogilbyi,Calliurichthys ogilbyi,fishes,NA,NA,NA,NA,NA
Calliurichthys sereti,Calliurichthys sereti,fishes,NA,NA,NA,NA,NA
Calliurichthys tethys,Calliurichthys tethys,fishes,NA,NA,NA,NA,NA
Callyonimus phaeton,Callyonimus phaeton,fishes,NA,NA,NA,NA,NA
Calophyllum rupicola,Calophyllum rupicola,vascular plants,NA,NA,NA,NA,NA
Calophyllum soulattri,Calophyllum soulattri,vascular plants,NA,NA,NA,NA,NA
Calylophus lavandulifolius,Calylophus lavandulifolius,vascular plants,NA,NA,NA,NA,NA
Calylophus serrulatus,Calylophus serrulatus,vascular plants,NA,NA,NA,NA,NA
Campostoma anamolum,Campostoma anamolum,fishes,NA,NA,NA,NA,NA
Campostoma anomala,Campostoma anomala,fishes,NA,NA,NA,NA,NA
Campylorhynchus brunneica,Campylorhynchus brunneica,birds,NA,NA,NA,NA,NA
Canarium purpurescens,Canarium purpurescens,vascular plants,NA,NA,NA,NA,NA
Canarium sumatrana,Canarium sumatrana,vascular plants,NA,NA,NA,NA,NA
Caprimulgus carolinensis,Caprimulgus carolinensis,birds,NA,NA,NA,NA,NA
Caprimulgus vociferus,Caprimulgus vociferus,birds,NA,NA,NA,NA,NA
Carangidae unidentified,Carangidae unidentified,fishes,NA,NA,NA,NA,NA
Carduelis caniceps,Carduelis caniceps,birds,NA,NA,NA,NA,NA
Carduelis cannabina,Carduelis cannabina,birds,NA,NA,NA,NA,NA
Carduelis chloris,Carduelis chloris,birds,NA,NA,NA,NA,NA
Carduelis flammea,Carduelis flammea,birds,NA,NA,NA,NA,NA
Carduelis flavirostris,Carduelis flavirostris,birds,NA,NA,NA,NA,NA
Carduelis hornemanni,Carduelis hornemanni,birds,NA,NA,NA,NA,NA
Carduelis lawrencei,Carduelis lawrencei,birds,NA,NA,NA,NA,NA
Carduelis pinus,Carduelis pinus,birds,NA,NA,NA,NA,NA
Carduelis psaltria,Carduelis psaltria,birds,NA,NA,NA,NA,NA
Carduelis spinus,Carduelis spinus,birds,NA,NA,NA,NA,NA
Carduelis tristis,Carduelis tristis,birds,NA,NA,NA,NA,NA
Carex chordorrhiza,Carex chordorrhiza,vascular plants,NA,NA,NA,NA,NA
Carpodacus cassinii,Carpodacus cassinii,birds,NA,NA,NA,NA,NA
Carpodacus mexicanus,Carpodacus mexicanus,birds,NA,NA,NA,NA,NA
Carpodacus purpureus,Carpodacus purpureus,birds,NA,NA,NA,NA,NA
Carpoides carpio,Carpoides carpio,fishes,NA,NA,NA,NA,NA
Casearia dallachii,Casearia dallachii,vascular plants,NA,NA,NA,NA,NA
Casmerodius albus,Casmerodius albus,birds,NA,NA,NA,NA,NA
Catharacta antarctica,Catharacta antarctica,birds,NA,NA,NA,NA,NA
Catharacta lonnbergi,Catharacta lonnbergi,birds,NA,NA,NA,NA,NA
Catharacta maccormicki,Catharacta maccormicki,birds,NA,NA,NA,NA,NA
Catharacta skua,Catharacta skua,birds,NA,NA,NA,NA,NA
Catharus mustelinus,Catharus mustelinus,birds,NA,NA,NA,NA,NA
Catoptrophorus semipalmatus,Catoptrophorus semipalmatus,birds,NA,NA,NA,NA,NA
Cebidichthys violaceous,Cebidichthys violaceous,fishes,NA,NA,NA,NA,NA
Cecropia glaziovii,Cecropia glaziovii,vascular plants,NA,NA,NA,NA,NA
Cecropia pachystachia,Cecropia pachystachia,vascular plants,NA,NA,NA,NA,NA
Cedrelinga cateriformis,Cedrelinga cateriformis,vascular plants,NA,NA,NA,NA,NA
Cedrella fissilis,Cedrella fissilis,vascular plants,NA,NA,NA,NA,NA
Centrobranchus nigro-ocellatus,Centrobranchus nigro-ocellatus,fishes,NA,NA,NA,NA,NA
Cerastium cerastoides,Cerastium cerastoides,vascular plants,NA,NA,NA,NA,NA
Certhia familaris,Certhia familaris,birds,NA,NA,NA,NA,NA
Ceryle alcyon,Ceryle alcyon,birds,NA,NA,NA,NA,NA
Cestrum schlechtendahlii,Cestrum schlechtendahlii,vascular plants,NA,NA,NA,NA,NA
Cestrum strigilatum,Cestrum strigilatum,vascular plants,NA,NA,NA,NA,NA
Cettia diphone,Cettia diphone,birds,NA,NA,NA,NA,NA
Chaetodon klenii,Chaetodon klenii,fishes,NA,NA,NA,NA,NA
Chaetodon ocellicauda,Chaetodon ocellicauda,fishes,NA,NA,NA,NA,NA
Chaetodon trifascatus,Chaetodon trifascatus,fishes,NA,NA,NA,NA,NA
Chamaeorchis alpina,Chamaeorchis alpina,vascular plants,NA,NA,NA,NA,NA
Chamaesaracha conoides,Chamaesaracha conoides,vascular plants,NA,NA,NA,NA,NA
Chamaesyce strictospora,Chamaesyce strictospora,vascular plants,NA,NA,NA,NA,NA
Chasalia longifolia,Chasalia longifolia,vascular plants,NA,NA,NA,NA,NA
Cheilinus oxycephalis,Cheilinus oxycephalis,fishes,NA,NA,NA,NA,NA
Cheilodipterus quinquilineatus,Cheilodipterus quinquilineatus,fishes,NA,NA,NA,NA,NA
Chelmon kleinii,Chelmon kleinii,fishes,NA,NA,NA,NA,NA
Chen caerulescens,Chen caerulescens,birds,NA,NA,NA,NA,NA
Chionanthus callophylla,Chionanthus callophylla,vascular plants,NA,NA,NA,NA,NA
Chionanthus macrocarpa,Chionanthus macrocarpa,vascular plants,NA,NA,NA,NA,NA
Chlidonias hybridus,Chlidonias hybridus,birds,NA,NA,NA,NA,NA
Chlidonias leucopteru,Chlidonias leucopteru,birds,NA,NA,NA,NA,NA
Chlorostilbon maugeanus,Chlorostilbon maugeanus,birds,NA,NA,NA,NA,NA
Chlorurus capristratoides,Chlorurus capristratoides,fishes,NA,NA,NA,NA,NA
Chlorurus microrhinus,Chlorurus microrhinus,fishes,NA,NA,NA,NA,NA
Chlorurus troschelli,Chlorurus troschelli,fishes,NA,NA,NA,NA,NA
Chromis dispilis,Chromis dispilis,fishes,NA,NA,NA,NA,NA
Chrysiptera brownrigii,Chrysiptera brownrigii,fishes,NA,NA,NA,NA,NA
Cichlasoma uropthalmus,Cichlasoma uropthalmus,fishes,NA,NA,NA,NA,NA
Cinnamomum sintoc,Cinnamomum sintoc,vascular plants,NA,NA,NA,NA,NA
Circus melanoleucus,Circus melanoleucus,birds,NA,NA,NA,NA,NA
Citronela paniculata,Citronela paniculata,vascular plants,NA,NA,NA,NA,NA
Cleidopus gloriamanis,Cleidopus gloriamanis,fishes,NA,NA,NA,NA,NA
Clinocottus auticeps,Clinocottus auticeps,fishes,NA,NA,NA,NA,NA
Clinocuttus acuticeps,Clinocuttus acuticeps,fishes,NA,NA,NA,NA,NA
Clinstomus funduloides,Clinstomus funduloides,fishes,NA,NA,NA,NA,NA
Coccoloba manzinellensis,Coccoloba manzinellensis,vascular plants,NA,NA,NA,NA,NA
Coelorinchus coelorinchus,Coelorinchus coelorinchus,fishes,NA,NA,NA,NA,NA
Colaptes auratusÂ auratus,Colaptes auratus auratus,birds,NA,NA,NA,NA,NA
Columba fasciata,Columba fasciata,birds,NA,NA,NA,NA,NA
Conacarpus erectus,Conacarpus erectus,vascular plants,NA,NA,NA,NA,NA
Contopus borealis,Contopus borealis,birds,NA,NA,NA,NA,NA
Contopus spec,Contopus spec,birds,NA,NA,NA,NA,NA
Copaifera protium,Copaifera protium,vascular plants,NA,NA,NA,NA,NA
Corvus spec,Corvus spec,birds,NA,NA,NA,NA,NA
Corydalis conorhiza,Corydalis conorhiza,vascular plants,NA,NA,NA,NA,NA
Coryphaenoides chalinura,Coryphaenoides chalinura,fishes,NA,NA,NA,NA,NA
Coryphaenoides coryphaenoides,Coryphaenoides coryphaenoides,fishes,NA,NA,NA,NA,NA
Coryphaenoides lionurus,Coryphaenoides lionurus,fishes,NA,NA,NA,NA,NA
Coryphaenoides profundicola,Coryphaenoides profundicola,fishes,NA,NA,NA,NA,NA
Coryphaenoides spa,Coryphaenoides spa,fishes,NA,NA,NA,NA,NA
Cottunculoides inermis,Cottunculoides inermis,fishes,NA,NA,NA,NA,NA
Cottunculus thomsoni,Cottunculus thomsoni,fishes,NA,NA,NA,NA,NA
Couratari schweifer,Couratari schweifer,vascular plants,NA,NA,NA,NA,NA
Coussarea curvigemmia,Coussarea curvigemmia,vascular plants,NA,NA,NA,NA,NA
Crotalaria tweediana,Crotalaria tweediana,vascular plants,NA,NA,NA,NA,NA
Crudia curtisii,Crudia curtisii,vascular plants,NA,NA,NA,NA,NA
Cryptantha crassisepila,Cryptantha crassisepila,vascular plants,NA,NA,NA,NA,NA
Cryptocarya bellendenkerana,Cryptocarya bellendenkerana,vascular plants,NA,NA,NA,NA,NA
Cryptocarya burckiana,Cryptocarya burckiana,vascular plants,NA,NA,NA,NA,NA
Cynoglossus punctate,Cynoglossus punctate,fishes,NA,NA,NA,NA,NA
Cypho purpurescens,Cypho purpurescens,fishes,NA,NA,NA,NA,NA
Dasyochloa pulchellum,Dasyochloa pulchellum,vascular plants,NA,NA,NA,NA,NA
Dendragapus canadensis,Dendragapus canadensis,birds,NA,NA,NA,NA,NA
Dendrocnide photinophylla,Dendrocnide photinophylla,vascular plants,NA,NA,NA,NA,NA
Dendrocopos kizuki,Dendrocopos kizuki,birds,NA,NA,NA,NA,NA
Dendrocopos medius,Dendrocopos medius,birds,NA,NA,NA,NA,NA
Dendrocopos minor,Dendrocopos minor,birds,NA,NA,NA,NA,NA
Dendroica caerulescens,Dendroica caerulescens,birds,NA,NA,NA,NA,NA
Dendroica castanea,Dendroica castanea,birds,NA,NA,NA,NA,NA
Dendroica cerulea,Dendroica cerulea,birds,NA,NA,NA,NA,NA
Dendroica coronata,Dendroica coronata,birds,NA,NA,NA,NA,NA
Dendroica discolor,Dendroica discolor,birds,NA,NA,NA,NA,NA
Dendroica dominica,Dendroica dominica,birds,NA,NA,NA,NA,NA
Dendroica fusca,Dendroica fusca,birds,NA,NA,NA,NA,NA
Dendroica graciae,Dendroica graciae,birds,NA,NA,NA,NA,NA
Dendroica magnolia,Dendroica magnolia,birds,NA,NA,NA,NA,NA
Dendroica nigrescens,Dendroica nigrescens,birds,NA,NA,NA,NA,NA
Dendroica occidentalis,Dendroica occidentalis,birds,NA,NA,NA,NA,NA
Dendroica palmarum,Dendroica palmarum,birds,NA,NA,NA,NA,NA
Dendroica pensylvanica,Dendroica pensylvanica,birds,NA,NA,NA,NA,NA
Dendroica petechia,Dendroica petechia,birds,NA,NA,NA,NA,NA
Dendroica pinus,Dendroica pinus,birds,NA,NA,NA,NA,NA
Dendroica stirata,Dendroica stirata,birds,NA,NA,NA,NA,NA
Dendroica striata,Dendroica striata,birds,NA,NA,NA,NA,NA
Dendroica tigrina,Dendroica tigrina,birds,NA,NA,NA,NA,NA
Dendroica townsendi,Dendroica townsendi,birds,NA,NA,NA,NA,NA
Dendroica virens,Dendroica virens,birds,NA,NA,NA,NA,NA
Dendropanax cuneatum,Dendropanax cuneatum,vascular plants,NA,NA,NA,NA,NA
Deschampsia cespitosa,Deschampsia cespitosa,vascular plants,NA,NA,NA,NA,NA
Diaphus metoplocampus,Diaphus metoplocampus,fishes,NA,NA,NA,NA,NA
Didymopanax ocotea,Didymopanax ocotea,vascular plants,NA,NA,NA,NA,NA
Dinosperma erythrococcum,Dinosperma erythrococcum,vascular plants,NA,NA,NA,NA,NA
Dinosperma melanophloium,Dinosperma melanophloium,vascular plants,NA,NA,NA,NA,NA
Diomedea albatrus,Diomedea albatrus,birds,NA,NA,NA,NA,NA
Diomedea amsterdamens,Diomedea amsterdamens,birds,NA,NA,NA,NA,NA
Diomedea immutabilis,Diomedea immutabilis,birds,NA,NA,NA,NA,NA
